ZONE,ADJ_SA4,TRIP MODE,QUANTITY
29, City and Inner South (CBD),TAXI,58
29, City and Inner South (CBD),TNC_SHARED,64
29, City and Inner South (CBD),TNC_SINGLE,101
29, City and Inner South (CBD),WALK,2059
29, City and Inner South (CBD),WALK_AB,435
29, City and Inner South (CBD),WALK_BM,664
29, City and Inner South (CBD),WALK_MR,1220
30, City and Inner South (CBD),BIKE,118
30, City and Inner South (CBD),DRIVEALONE,4901
30, City and Inner South (CBD),KNR_TRN,313
30, City and Inner South (CBD),PNR_TRN,181
30, City and Inner South (CBD),SCHOOLBUS,1
30, City and Inner South (CBD),SHARED2,946
30, City and Inner South (CBD),SHARED3,103
30, City and Inner South (CBD),TAXI,80
30, City and Inner South (CBD),TNC_SHARED,68
30, City and Inner South (CBD),TNC_SINGLE,104
30, City and Inner South (CBD),WALK,2891
30, City and Inner South (CBD),WALK_AB,715
30, City and Inner South (CBD),WALK_BM,1061
30, City and Inner South (CBD),WALK_MR,1855
31, City and Inner South (CBD),BIKE,74
31, City and Inner South (CBD),DRIVEALONE,2516
31, City and Inner South (CBD),KNR_TRN,169
31, City and Inner South (CBD),PNR_TRN,94
31, City and Inner South (CBD),SHARED2,503
31, City and Inner South (CBD),SHARED3,48
31, City and Inner South (CBD),TAXI,50
31, City and Inner South (CBD),TNC_SHARED,47
31, City and Inner South (CBD),TNC_SINGLE,67
31, City and Inner South (CBD),WALK,1457
31, City and Inner South (CBD),WALK_AB,342
31, City and Inner South (CBD),WALK_BM,510
31, City and Inner South (CBD),WALK_MR,926
32, City and Inner South (CBD),BIKE,21
32, City and Inner South (CBD),DRIVEALONE,618
32, City and Inner South (CBD),KNR_TRN,89
32, City and Inner South (CBD),PNR_TRN,61
32, City and Inner South (CBD),SHARED2,156
32, City and Inner South (CBD),SHARED3,17
32, City and Inner South (CBD),TAXI,10
32, City and Inner South (CBD),TNC_SHARED,13
32, City and Inner South (CBD),TNC_SINGLE,20
32, City and Inner South (CBD),WALK,564
32, City and Inner South (CBD),WALK_AB,102
32, City and Inner South (CBD),WALK_BM,164
32, City and Inner South (CBD),WALK_MR,303
33, City and Inner South (CBD),BIKE,98
33, City and Inner South (CBD),DRIVEALONE,3526
33, City and Inner South (CBD),KNR_TRN,200
33, City and Inner South (CBD),PNR_TRN,152
33, City and Inner South (CBD),SHARED2,622
33, City and Inner South (CBD),SHARED3,62
33, City and Inner South (CBD),TAXI,56
33, City and Inner South (CBD),TNC_SHARED,72
33, City and Inner South (CBD),TNC_SINGLE,94
33, City and Inner South (CBD),WALK,1832
33, City and Inner South (CBD),WALK_AB,421
33, City and Inner South (CBD),WALK_BM,718
33, City and Inner South (CBD),WALK_MR,1215
34, City and Inner South (CBD),BIKE,16
34, City and Inner South (CBD),DRIVEALONE,637
34, City and Inner South (CBD),KNR_TRN,38
34, City and Inner South (CBD),PNR_TRN,20
34, City and Inner South (CBD),SHARED2,128
34, City and Inner South (CBD),SHARED3,14
34, City and Inner South (CBD),TAXI,5
34, City and Inner South (CBD),TNC_SHARED,6
34, City and Inner South (CBD),TNC_SINGLE,14
34, City and Inner South (CBD),WALK,324
34, City and Inner South (CBD),WALK_AB,90
34, City and Inner South (CBD),WALK_BM,128
34, City and Inner South (CBD),WALK_MR,236
35, City and Inner South (CBD),BIKE,10
35, City and Inner South (CBD),DRIVEALONE,325
35, City and Inner South (CBD),KNR_TRN,24
35, City and Inner South (CBD),PNR_TRN,12
35, City and Inner South (CBD),SHARED2,92
35, City and Inner South (CBD),SHARED3,6
35, City and Inner South (CBD),TAXI,4
35, City and Inner South (CBD),TNC_SHARED,1
35, City and Inner South (CBD),TNC_SINGLE,11
35, City and Inner South (CBD),WALK,109
35, City and Inner South (CBD),WALK_AB,46
35, City and Inner South (CBD),WALK_BM,129
35, City and Inner South (CBD),WALK_MR,104
36, City and Inner South (CBD),BIKE,107
36, City and Inner South (CBD),DRIVEALONE,4055
36, City and Inner South (CBD),KNR_TRN,232
36, City and Inner South (CBD),PNR_TRN,148
36, City and Inner South (CBD),SCHOOLBUS,1
36, City and Inner South (CBD),SHARED2,855
36, City and Inner South (CBD),SHARED3,77
36, City and Inner South (CBD),TAXI,74
36, City and Inner South (CBD),TNC_SHARED,75
36, City and Inner South (CBD),TNC_SINGLE,108
36, City and Inner South (CBD),WALK,2316
36, City and Inner South (CBD),WALK_AB,604
36, City and Inner South (CBD),WALK_BM,809
36, City and Inner South (CBD),WALK_MR,1317
37, City and Inner South (CBD),BIKE,76
37, City and Inner South (CBD),DRIVEALONE,2446
37, City and Inner South (CBD),KNR_TRN,129
37, City and Inner South (CBD),PNR_TRN,96
37, City and Inner South (CBD),SCHOOLBUS,1
37, City and Inner South (CBD),SHARED2,465
37, City and Inner South (CBD),SHARED3,41
37, City and Inner South (CBD),TAXI,33
37, City and Inner South (CBD),TNC_SHARED,54
37, City and Inner South (CBD),TNC_SINGLE,56
37, City and Inner South (CBD),WALK,1552
37, City and Inner South (CBD),WALK_AB,387
37, City and Inner South (CBD),WALK_BM,541
37, City and Inner South (CBD),WALK_MR,858
38, City and Inner South (CBD),BIKE,33
38, City and Inner South (CBD),DRIVEALONE,1291
38, City and Inner South (CBD),KNR_TRN,92
38, City and Inner South (CBD),PNR_TRN,39
38, City and Inner South (CBD),SHARED2,267
38, City and Inner South (CBD),SHARED3,32
38, City and Inner South (CBD),TAXI,16
38, City and Inner South (CBD),TNC_SHARED,30
38, City and Inner South (CBD),TNC_SINGLE,25
38, City and Inner South (CBD),WALK,732
38, City and Inner South (CBD),WALK_AB,246
38, City and Inner South (CBD),WALK_BM,289
38, City and Inner South (CBD),WALK_MR,447
39, City and Inner South (CBD),BIKE,110
39, City and Inner South (CBD),DRIVEALONE,3711
39, City and Inner South (CBD),KNR_TRN,239
39, City and Inner South (CBD),PNR_TRN,153
39, City and Inner South (CBD),SCHOOLBUS,1
39, City and Inner South (CBD),SHARED2,711
39, City and Inner South (CBD),SHARED3,73
39, City and Inner South (CBD),TAXI,67
39, City and Inner South (CBD),TNC_SHARED,67
39, City and Inner South (CBD),TNC_SINGLE,90
39, City and Inner South (CBD),WALK,2327
39, City and Inner South (CBD),WALK_AB,519
39, City and Inner South (CBD),WALK_BM,800
39, City and Inner South (CBD),WALK_MR,1366
40, City and Inner South (CBD),BIKE,49
40, City and Inner South (CBD),DRIVEALONE,1913
40, City and Inner South (CBD),KNR_TRN,289
40, City and Inner South (CBD),PNR_TRN,207
40, City and Inner South (CBD),SHARED2,422
40, City and Inner South (CBD),SHARED3,40
40, City and Inner South (CBD),TAXI,35
40, City and Inner South (CBD),TNC_SHARED,40
40, City and Inner South (CBD),TNC_SINGLE,51
40, City and Inner South (CBD),WALK,1413
40, City and Inner South (CBD),WALK_AB,337
40, City and Inner South (CBD),WALK_BM,508
40, City and Inner South (CBD),WALK_MR,832
41, City and Inner South (CBD),BIKE,25
41, City and Inner South (CBD),DRIVEALONE,1063
41, City and Inner South (CBD),KNR_TRN,54
41, City and Inner South (CBD),PNR_TRN,55
41, City and Inner South (CBD),SCHOOLBUS,1
41, City and Inner South (CBD),SHARED2,206
41, City and Inner South (CBD),SHARED3,17
41, City and Inner South (CBD),TAXI,26
41, City and Inner South (CBD),TNC_SHARED,24
41, City and Inner South (CBD),TNC_SINGLE,23
41, City and Inner South (CBD),WALK,641
41, City and Inner South (CBD),WALK_AB,158
41, City and Inner South (CBD),WALK_BM,229
41, City and Inner South (CBD),WALK_MR,347
42, City and Inner South (CBD),BIKE,11
42, City and Inner South (CBD),DRIVEALONE,364
42, City and Inner South (CBD),KNR_TRN,22
42, City and Inner South (CBD),PNR_TRN,16
42, City and Inner South (CBD),SHARED2,67
42, City and Inner South (CBD),SHARED3,8
42, City and Inner South (CBD),TAXI,3
42, City and Inner South (CBD),TNC_SHARED,14
42, City and Inner South (CBD),TNC_SINGLE,12
42, City and Inner South (CBD),WALK,246
42, City and Inner South (CBD),WALK_AB,61
42, City and Inner South (CBD),WALK_BM,62
42, City and Inner South (CBD),WALK_MR,141
43, City and Inner South (CBD),BIKE,15
43, City and Inner South (CBD),DRIVEALONE,507
43, City and Inner South (CBD),KNR_TRN,30
43, City and Inner South (CBD),PNR_TRN,18
43, City and Inner South (CBD),SHARED2,104
43, City and Inner South (CBD),SHARED3,9
43, City and Inner South (CBD),TAXI,9
43, City and Inner South (CBD),TNC_SHARED,13
43, City and Inner South (CBD),TNC_SINGLE,17
43, City and Inner South (CBD),WALK,321
43, City and Inner South (CBD),WALK_AB,72
43, City and Inner South (CBD),WALK_BM,102
43, City and Inner South (CBD),WALK_MR,215
44, City and Inner South (CBD),BIKE,84
44, City and Inner South (CBD),DRIVEALONE,2554
44, City and Inner South (CBD),KNR_TRN,142
44, City and Inner South (CBD),PNR_TRN,93
44, City and Inner South (CBD),SHARED2,492
44, City and Inner South (CBD),SHARED3,51
44, City and Inner South (CBD),TAXI,59
44, City and Inner South (CBD),TNC_SHARED,39
44, City and Inner South (CBD),TNC_SINGLE,60
44, City and Inner South (CBD),WALK,1605
44, City and Inner South (CBD),WALK_AB,366
44, City and Inner South (CBD),WALK_BM,530
44, City and Inner South (CBD),WALK_MR,852
45, City and Inner South (CBD),BIKE,62
45, City and Inner South (CBD),DRIVEALONE,2577
45, City and Inner South (CBD),KNR_TRN,271
45, City and Inner South (CBD),PNR_TRN,228
45, City and Inner South (CBD),SCHOOLBUS,1
45, City and Inner South (CBD),SHARED2,547
45, City and Inner South (CBD),SHARED3,55
45, City and Inner South (CBD),TAXI,45
45, City and Inner South (CBD),TNC_SHARED,55
45, City and Inner South (CBD),TNC_SINGLE,76
45, City and Inner South (CBD),WALK,1533
45, City and Inner South (CBD),WALK_AB,408
45, City and Inner South (CBD),WALK_BM,557
45, City and Inner South (CBD),WALK_MR,951
46, City and Inner South (CBD),BIKE,14
46, City and Inner South (CBD),DRIVEALONE,496
46, City and Inner South (CBD),KNR_TRN,75
46, City and Inner South (CBD),PNR_TRN,76
46, City and Inner South (CBD),SCHOOLBUS,1
46, City and Inner South (CBD),SHARED2,88
46, City and Inner South (CBD),SHARED3,18
46, City and Inner South (CBD),TAXI,5
46, City and Inner South (CBD),TNC_SHARED,15
46, City and Inner South (CBD),TNC_SINGLE,10
46, City and Inner South (CBD),WALK,382
46, City and Inner South (CBD),WALK_AB,98
46, City and Inner South (CBD),WALK_BM,112
46, City and Inner South (CBD),WALK_MR,190
47, City and Inner South (CBD),BIKE,55
47, City and Inner South (CBD),DRIVEALONE,2525
47, City and Inner South (CBD),KNR_TRN,356
47, City and Inner South (CBD),PNR_TRN,240
47, City and Inner South (CBD),SHARED2,575
47, City and Inner South (CBD),SHARED3,65
47, City and Inner South (CBD),TAXI,51
47, City and Inner South (CBD),TNC_SHARED,48
47, City and Inner South (CBD),TNC_SINGLE,69
47, City and Inner South (CBD),WALK,1881
47, City and Inner South (CBD),WALK_AB,483
47, City and Inner South (CBD),WALK_BM,674
47, City and Inner South (CBD),WALK_MR,1133
48, City and Inner South (CBD),BIKE,72
48, City and Inner South (CBD),DRIVEALONE,2782
48, City and Inner South (CBD),KNR_TRN,176
48, City and Inner South (CBD),PNR_TRN,136
48, City and Inner South (CBD),SCHOOLBUS,1
48, City and Inner South (CBD),SHARED2,522
48, City and Inner South (CBD),SHARED3,54
48, City and Inner South (CBD),TAXI,44
48, City and Inner South (CBD),TNC_SHARED,43
48, City and Inner South (CBD),TNC_SINGLE,63
